Harmonic_Profile_Slot,Mapped_Symbols,Notes
I,"I,I+,I+/F,I+/V,I/A,I/A#,I/B,I/C,I/C#,I/D,I/D#,I/E,I/F,I/F#,I/G,I/G#,I/I,I/IV,I/V,I/bIII,I/bVI,I/bVII,I/ii,I/iii,I/iv,I/v,I/vi,I/vii,I11,I11/D,I11/F,I11/IV,I11/V,I11/ii,I11/iii,I11/vii,I13,I13/C,I13/F,I13/G,I13/I,I13/IV,I13/V,I13/ii,I13/iii,I13/vi,I13/vii,I7,I7/A#,I7/C,I7/C#,I7/D,I7/D#,I7/E,I7/F,I7/G,I7/IV,I7/V,I7/bIII,I7/bVI,I7/bVII,I7/ii,I7/iii,I7/iv,I7/v,I7/vi,I7/vii,I7sus2,I7sus2/V,I7sus4,I7sus4/F,I7sus4/IV,I7sus4/V,I9,I9/A#,I9/C,I9/D,I9/D#,I9/F,I9/G,I9/I,I9/IV,I9/V,I9/bVII,I9/ii,I9/iii,I9/iv,I9/vi,I9/vii,Isus4,Isus4/A#,Isus4/C,Isus4/D,Isus4/F,Isus4/F#,Isus4/G,Isus4/IV,Isus4/V,Isus4/ii,Isus4/iii,Isus4/vi,Isus4/vii","Major I chord and all extensions/slash chords"
ii,"ii,ii+,ii+/IV,ii/A,ii/C,ii/E,ii/F,ii/G,ii/G#,ii/I,ii/IV,ii/V,ii/iii,ii/vi,ii/vii,ii11,ii11/I,ii11/IV,ii11/V,ii11/vi,ii13,ii13/A#,ii13/G,ii13/I,ii13/IV,ii13/V,ii13/iii,ii13/vi,ii13/vii,ii7,ii7/A,ii7/A#,ii7/B,ii7/C,ii7/D,ii7/E,ii7/F,ii7/G,ii7/G#,ii7/I,ii7/IV,ii7/V,ii7/iii,ii7/vi,ii7sus2,ii7sus2/F,ii7sus2/I,ii7sus2/IV,ii7sus4,ii7sus4/C,ii7sus4/V,ii7sus4/vi,ii9,ii9/A,ii9/B,ii9/I,ii9/IV,ii9/V,ii9/vi,ii9add9,ii9add9/vi,iisus4,iisus4/D#,iisus4/F,iisus4/I,iisus4/V,iisus4/vi,iisus4/vii,ii°,ii°+,ii°/A,ii°/A#,ii°/B,ii°/C#,ii°/D#,ii°/G,ii°/G#,ii°/I,ii°/IV,ii°/bIII,ii°/bVI,ii°/bVII,ii°/i,ii°/iv,ii°/v,ii°11,ii°11/D#,ii°11/bVI,ii°11/i,ii°11/v,ii°13,ii°13/bVI,ii°13/bVII,ii°7,ii°7/B,ii°7/C,ii°7/D#,ii°7/F,ii°7/G#,ii°7/I,ii°7/IV,ii°7/V,ii°7/bIII,ii°7/bVI,ii°7/bVII,ii°7/i,ii°7/iv,ii°7/v,ii°7sus2,ii°7sus4,ii°7sus4/v,ii°9,ii°9/iv,ii°9add9,ii°sus4,ii°sus4/bIII,ii°sus4/bVI,ii°sus4/bVII","Minor ii chord and all extensions/slash chords"
iii,"iii,iii+,iii+/IV,iii+/V,iii/A,iii/B,iii/F,iii/G#,iii/I,iii/IV,iii/V,iii/bVII,iii/i,iii/ii,iii/v,iii/vi,iii/vii,iii11,iii11/IV,iii13,iii13/vii,iii7,iii7/A,iii7/A#,iii7/B,iii7/D#,iii7/E,iii7/F,iii7/G#,iii7/I,iii7/V,iii7/ii,iii7/vi,iii7/vii,iii7sus2,iii7sus2/ii,iii7sus4,iii7sus4/V,iii7sus4/ii,iii7sus4/vi,iii7sus4/vii,iii9,iii9/F,iii9/I,iii9/IV,iii9/V,iii9/ii,iii9/vi,iii9/vii,iii9add9,iiisus4,iiisus4/F,iiisus4/IV,iiisus4/ii,iiisus4/vii,iii°,iii°/D#,iii°/I,iii°/V,iii°/ii,iii°7,iii°7/vi","Minor iii chord and all extensions/slash chords"
IV,"IV,IV+,IV+/iii,IV/A,IV/A#,IV/B,IV/C,IV/C#,IV/D,IV/D#,IV/E,IV/F,IV/F#,IV/G,IV/G#,IV/I,IV/V,IV/bIII,IV/bVI,IV/bVII,IV/i,IV/ii,IV/iii,IV/v,IV/vi,IV/vii,IV11,IV11/C,IV11/I,IV11/V,IV11/ii,IV13,IV13/A#,IV13/I,IV13/V,IV13/ii,IV13/vi,IV7,IV7/A,IV7/A#,IV7/D#,IV7/E,IV7/F,IV7/F#,IV7/G,IV7/G#,IV7/I,IV7/V,IV7/bIII,IV7/bVI,IV7/i,IV7/ii,IV7/iii,IV7/vi,IV7sus2,IV7sus2/I,IV7sus4,IV7sus4/D,IV9,IV9/C,IV9/C#,IV9/F,IV9/I,IV9/V,IV9/ii,IV9/iii,IV9/vi,IVsus4,IVsus4/A#,IVsus4/G#,IVsus4/I,IVsus4/V,IVsus4/ii","Major IV chord and all extensions/slash chords"
V,"V,V+,V+/F,V+/ii,V+/vii,V/A,V/A#,V/B,V/C,V/C#,V/D,V/D#,V/E,V/F,V/F#,V/G,V/G#,V/I,V/IV,V/bIII,V/bVI,V/bVII,V/i,V/ii,V/iii,V/iv,V/vi,V/vii,V11,V11/C,V11/F,V11/G,V11/I,V11/IV,V11/ii,V11/vi,V11/vii,V13,V13/C,V13/F,V13/I,V13/ii,V13/iii,V13/vi,V13/vii,V7,V7/A#,V7/C,V7/D,V7/F,V7/F#,V7/G,V7/I,V7/IV,V7/ii,V7/iii,V7/ii°,V7/ii°/i,V7/ii°/ii,V7/iv,V7/vi,V7/vii,V7/vii°,V7/vii°/B,V7/vii°/F,V7/vii°/G#,V7/vii°/vi,V7sus2,V7sus2/IV,V7sus2/ii,V7sus4,V7sus4/F,V7sus4/I,V7sus4/IV,V7sus4/ii,V7sus4/iii,V9,V9/C,V9/F,V9/G,V9/IV,V9/ii,V9/vi,V9/vii,Vsus4,Vsus4/C,Vsus4/D,Vsus4/F,Vsus4/I,Vsus4/IV,Vsus4/ii,Vsus4/iii,Vsus4/vi,Vsus4/vii","Major V chord and all extensions/slash chords"
vi,"vi,vi+,vi+/C#,vi/A#,vi/B,vi/C,vi/C#,vi/D#,vi/E,vi/F,vi/F#,vi/I,vi/IV,vi/V,vi/bIII,vi/i,vi/ii,vi/iii,vi/iv,vi/v,vi/vii,vi11,vi11/F,vi11/I,vi11/V,vi11/ii,vi11/iii,vi13,vi13/IV,vi7,vi7/A,vi7/C,vi7/D#,vi7/E,vi7/F,vi7/G#,vi7/I,vi7/IV,vi7/V,vi7/ii,vi7/iii,vi7sus2,vi7sus2/V,vi7sus2/iii,vi7sus4,vi7sus4/ii,vi7sus4/iii,vi9,vi9/F,vi9/I,vi9/IV,vi9/V,vi9/iii,vi9add9,vi9add9/IV,vi9add9/V,vi9add9/iii,visus4,visus4/F,visus4/IV,visus4/V,visus4/ii,visus4/iii,visus4/vii,vi°,vi°/I,vi°7,vi°7/I,vi°7/V","Minor vi chord and all extensions/slash chords"
viiø,"vii,vii/A#,vii/ii,vii°,vii°+,vii°+/B,vii°+/I,vii°+/IV,vii°/A,vii°/A#,vii°/B,vii°/C,vii°/C#,vii°/D#,vii°/G#,vii°/I,vii°/IV,vii°/V,vii°/ii,vii°/iii,vii°/vi,vii°11,vii°13,vii°13/ii,vii°7,vii°7/A,vii°7/C,vii°7/D,vii°7/D#,vii°7/E,vii°7/I,vii°7/IV,vii°7/ii,vii°7/iii,vii°7/vi,vii°7sus2,vii°7sus2/B,vii°7sus4,vii°7sus4/I,vii°9,vii°9/I,vii°9/ii,vii°9/vi,vii°9add9,vii°sus4,vii°sus4/IV","Half-diminished vii chord and all extensions/slash chords"
i,"i,i+,i+/bIII,i+/bVI,i+/bVII,i/A#,i/B,i/C,i/C#,i/D,i/D#,i/E,i/F,i/F#,i/G,i/G#,i/IV,i/V,i/bIII,i/bVI,i/bVII,i/ii,i/iv,i/v,i/vi,i/vii,i11,i11/F,i11/bIII,i11/bVI,i11/bVII,i11/ii,i11/iv,i11/v,i13,i13/bIII,i13/bVI,i13/ii,i13/v,i7,i7/A,i7/A#,i7/B,i7/C,i7/D#,i7/F,i7/G,i7/G#,i7/IV,i7/V,i7/bIII,i7/bVI,i7/bVII,i7/ii,i7/iv,i7/v,i7/vi,i7sus2,i7sus2/C,i7sus2/bVII,i7sus2/ii,i7sus2/v,i7sus4,i7sus4/bVII,i7sus4/iv,i9,i9/C#,i9/D,i9/F,i9/G,i9/bIII,i9/bVI,i9/bVII,i9/iv,i9/v,i9add9,i9add9/v,isus4,isus4/bIII,isus4/bVI,isus4/bVII,isus4/ii,isus4/iv,isus4/v,i°,i°/A#,i°/D#,i°/IV,i°/V,i°/ii,i°/iv,i°/vii,i°7,i°7/D#,i°7/F#,i°7/IV","Minor i chord and all extensions/slash chords"
iiø,"ii°,ii°+,ii°/A,ii°/A#,ii°/B,ii°/C#,ii°/D#,ii°/G,ii°/G#,ii°/I,ii°/IV,ii°/bIII,ii°/bVI,ii°/bVII,ii°/i,ii°/iv,ii°/v,ii°11,ii°11/D#,ii°11/bVI,ii°11/i,ii°11/v,ii°13,ii°13/bVI,ii°13/bVII,ii°7,ii°7/B,ii°7/C,ii°7/D#,ii°7/F,ii°7/G#,ii°7/I,ii°7/IV,ii°7/V,ii°7/bIII,ii°7/bVI,ii°7/bVII,ii°7/i,ii°7/iv,ii°7/v,ii°7sus2,ii°7sus4,ii°7sus4/v,ii°9,ii°9/iv,ii°9add9,ii°sus4,ii°sus4/bIII,ii°sus4/bVI,ii°sus4/bVII","Half-diminished ii chord and extensions"
bIII,"bIII,bIII+,bIII+/C,bIII+/bVII,bIII+/ii,bIII/A,bIII/A#,bIII/B,bIII/C,bIII/C#,bIII/D,bIII/D#,bIII/E,bIII/F,bIII/F#,bIII/G,bIII/G#,bIII/I,bIII/IV,bIII/V,bIII/bVI,bIII/bVII,bIII/i,bIII/ii,bIII/iv,bIII/v,bIII11,bIII11/F,bIII11/bIII,bIII11/bVII,bIII11/iv,bIII13,bIII13/F,bIII13/bVII,bIII13/i,bIII13/v,bIII7,bIII7/A#,bIII7/C,bIII7/D#,bIII7/F,bIII7/G#,bIII7/bVI,bIII7/bVII,bIII7/i,bIII7/ii,bIII7/iv,bIII7/v,bIII7sus2,bIII7sus4,bIII9,bIII9/F,bIII9/bVI,bIII9/bVII,bIII9/i,bIII9/ii,bIII9/iv,bIII9/v,bIIIsus4,bIIIsus4/bVI,bIIIsus4/bVII,bIII°,bIII°/F#,bIII°/ii","Flat major III chord and extensions"
