MacPro_data3_CLEAN
id,chords,release_date,genres,decade,rock_genre,artist_id,main_genre,spotify_song_id,spotify_artist_id,artist_name,artist_url,song_name,song_url,key,roman_numerals,I,ii,iii,IV,V,vi,viiø,I7,iiiø,II(7),#ivø,III(7),#vº,VI(7),#iº,VII(7),#iiº,V(7),viiº,i,iiø,bIII,iv,v,bVI,bVII,Other
620961,<chorus_1> E A D G E A D G <verse_1> C/G G D G C/G G A D <verse_2> C/G G D G C/G G A D,,'classic texas country' 'country' 'outlaw country',,,artist_2782,country,724ZUvR3gBeZtAHlvJTQOH,7wCjDgV6nqBsHguQXPAaIM,PENDING,https://open.spotify.com/artist/7wCjDgV6nqBsHguQXPAaIM,PENDING,https://open.spotify.com/track/724ZUvR3gBeZtAHlvJTQOH,G Major,<chorus_1> VI II V I VI II V I <verse_1> IV/^1 I V I IV/^1 I II V <verse_2> IV/^1 I V I IV/^1 I II V,"8,8,0,0,0",,,"4,0,0,4,0","6,6,0,0,0",,,,,,,,,,,,,,,,,,,,,,"6,6,0,0,0"
620962,<verse_1> G C/G G D G C/G G D G <verse_2> C/G G D G C/G G D G <chorus_1> C/G G D G C/G G D G C/G G D G <verse_3> C/G G D G C/G G D G <chorus_2> D G,2004-01-01,'classic texas country' 'country' 'outlaw country',2000.000000,,artist_2782,country,7GIlmZmUij9gBU5r3NgkAC,7wCjDgV6nqBsHguQXPAaIM,PENDING,https://open.spotify.com/artist/7wCjDgV6nqBsHguQXPAaIM,PENDING,https://open.spotify.com/track/7GIlmZmUij9gBU5r3NgkAC,G Major,<verse_1> I IV/^1 I V I IV/^1 I V I <verse_2> IV/^1 I V I IV/^1 I V I <chorus_1> IV/^1 I V I IV/^1 I V I IV/^1 I V I <verse_3> IV/^1 I V I IV/^1 I V I <chorus_2> V I,"20,20,0,0,0",,,"9,0,0,9,0","10,10,0,0,0",,,,,,,,,,,,,,,,,,,,,,
620963,<verse_1> F A7 Emin7 Amin A7 Dmin7 Amin7 D7 Bb C7 F D7 G G7 Gmin7 C7 <verse_2> F A7 Emin7 Amin A7 Dmin7 Amin7 D7 Bb C7 F D7 G7 C F Ab G7 Gb <outro_1> F A7 Emin7 Amin A7 Dmin7 Amin7 D7 Bb C7 F D7 G7 C F Ab G7 Gb F A7 G7 Cmin G7 Dmin7 D7 Bb C7 F D G,2011-01-01,'classic country pop' 'classic texas country' 'country' 'country rock' 'nashville sound' 'outlaw country' 'singer-songwriter',2010.000000,country rock,artist_2930,country,30TG75TAQ1tXiMA23UcV3G,5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/track/30TG75TAQ1tXiMA23UcV3G,A Minor,<verse_1> bVI i7 v7 i i7 iv7 i7 iv7 bII bIII7 bVI iv7 bVII bVII7 bVII7 bIII7 <verse_2> bVI i7 v7 i i7 iv7 i7 iv7 bII bIII7 bVI iv7 bVII7 bIII bVI VII bVII7 VI <outro_1> bVI i7 v7 i i7 iv7 i7 iv7 bII bIII7 bVI iv7 bVII7 bIII bVI VII bVII7 VI bVI i7 bVII7 bIII bVII7 iv7 iv7 bII bIII7 bVI IV bVII,,,,"1,1,0,0,0",,,,,,,,,,,,,,,,"3,3,0,0,0",,"3,3,0,0,0",,,"10,10,0,0,0","2,2,0,0,0","45,45,0,0,0,37"
620964,<intro_1> G D <verse_1> G D G A D Bmin A G D A D <chorus_1> Bmin A D G Emin A D <verse_2> G D G A D Bmin A G D A D <chorus_2> Bmin A D G Emin A D <interlude_1> G Emin D <bridge_1> Bmin A G A D Bmin A G Emin A <verse_3> D G D G A D Bmin A G D A D Bmin <chorus_3> D Bmin A D G Emin A D <outro_1> Emin G A D,1984-11-25,'classic country pop' 'classic texas country' 'country' 'country rock' 'nashville sound' 'outlaw country' 'singer-songwriter',1980.000000,country rock,artist_2930,country,0sv2VsKF5daE5LpQdJZwDn,5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/track/0sv2VsKF5daE5LpQdJZwDn,D Major,<intro_1> IV I <verse_1> IV I IV V I vi V IV I V I <chorus_1> vi V I IV ii V I <verse_2> IV I IV V I vi V IV I V I <chorus_2> vi V I IV ii V I <interlude_1> IV ii I <bridge_1> vi V IV V I vi V IV ii V <verse_3> I IV I IV V I vi V IV I V I vi <chorus_3> I vi V I IV ii V I <outro_1> ii IV V I,"24,24,0,0,0","6,6,0,0,0",,"17,17,0,0,0","20,20,0,0,0","9,9,0,0,0",,,,,,,,,,,,,,,,,,,,,
620965,<verse_1> C F C F C <chorus_1> F C Emin Dmin G C G <verse_2> C F C F C <chorus_2> F C Emin Dmin G C <bridge_1> Emin F C G C Emin F C F C <chorus_3> F C Emin Dmin G C <outro_1> Emin Dmin G C F C,1984-11-25,'classic country pop' 'classic texas country' 'country' 'country rock' 'nashville sound' 'outlaw country' 'singer-songwriter',1980.000000,country rock,artist_2930,country,3FBkQDipTlRol9aipXxTcF,5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/track/3FBkQDipTlRol9aipXxTcF,C Major,<verse_1> I IV I IV I <chorus_1> IV I iii ii V I V <verse_2> I IV I IV I <chorus_2> IV I iii ii V I <bridge_1> iii IV I V I iii IV I IV I <chorus_3> IV I iii ii V I <outro_1> iii ii V I IV I,"18,18,0,0,0","4,4,0,0,0","6,6,0,0,0","11,11,0,0,0","6,6,0,0,0",,,,,,,,,,,,,,,,,,,,,,
620966,<intro_1> Dmaj7 D <verse_1> Gmin Dmaj7 Gmin Dmaj7 Gmaj7 Gmin7 Fsmin7 E7 Emin7 A7 Dmaj7 <verse_2> Gmin Dmaj7 Gmin Dmaj7 Gmaj7 Gmin7 Fsmin7 E7 Emin7 A7 Dmaj7 <chorus_1> Fmaj7 Dmaj7 Fmaj7 Dmaj7 Bmin7 Gmin7 Fmaj7 Bmin7 E A7 D G <interlude_1> Emin7 A7 Dmaj7 D C A7 Dmaj7 Gmaj7 Gmin7 A D Cs Emin7 A7 Dmaj7 D <chorus_2> Fmaj7 Dmaj7 Fmaj7 Dmaj7 Bmin7 As Fsmin7 Fs7 Emin7 A7 <outro_1> Dmaj7,2018-09-14,'classic country pop' 'classic texas country' 'country' 'country rock' 'nashville sound' 'outlaw country' 'singer-songwriter',2010.000000,country rock,artist_2930,country,5rMQlVPrIiPdbqXMUaq8nl,5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/track/5rMQlVPrIiPdbqXMUaq8nl,D Major,<intro_1> I7 I <verse_1> iv I7 iv I7 IV7 iv7 bIII ii7 ii7 V7 I7 <verse_2> iv I7 iv I7 IV7 iv7 bIII ii7 ii7 V7 I7 <chorus_1> bIII I7 bIII I7 vi7 iv7 bIII vi7 II V7 I IV <interlude_1> ii7 V7 I7 I bVII V7 I7 IV7 iv7 V I bVII ii7 V7 I7 I <chorus_2> bIII I7 bIII I7 vi7 V bIII bIII ii7 V7 <outro_1> I7,"5,5,0,0,0",,,"1,1,0,0,0","2,2,0,0,0",,,"15,15,0,0,0,15",,,,,,,,,,,,,,"9,9,0,0,0","4,4,0,0,0",,,"2,2,0,0,0","25,25,0,0,0,24"
620967,<intro_1> G A D <verse_1> B7 E7 A D A E7 A7 <verse_2> D B7 E7 A Fs7 B7 E7 G A D A7 <solo_1> D B7 E7 A7 D A7 E7 A7 D B7 E7 A7 Fs7 B7 E7 A7 D <verse_3> B7 E7 A D A E7 A <verse_4> D B7 E7 A Fs7 B7 E7 G A D B7 G A D Dmaj7,1986-06-15,'classic country pop' 'classic texas country' 'country' 'country rock' 'nashville sound' 'outlaw country' 'singer-songwriter',1980.000000,country rock,artist_2930,country,6jhxeiIEqs8YWKCnT9Ux98,5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/track/6jhxeiIEqs8YWKCnT9Ux98,A Major,<intro_1> bVII I IV <verse_1> ii7 V7 I IV I V7 I7 <verse_2> IV ii7 V7 I bVI ii7 V7 bVII I IV I7 <solo_1> IV ii7 V7 I7 IV I7 V7 I7 IV ii7 V7 I7 bVI ii7 V7 I7 IV <verse_3> ii7 V7 I IV I V7 I <verse_4> IV ii7 V7 I bVI ii7 V7 bVII I IV ii7 bVII I IV IV7,"11,11,0,0,0",,,"12,12,0,0,0",,,,"7,7,0,0,0,7",,,,,,,,,,,,,,,,,"3,3,0,0,0","4,4,0,0,0","23,23,0,0,0,23"
620968,<verse_1> D G D A D G A D G A <chorus_1> D G A D Bmin A Emin A D <interlude_1> A D Emin D C Asus4 A <verse_2> D G D A D G A D G A <chorus_2> D G A D Bmin A Emin A D Emin <outro_1> A D,1989-07-12,'classic country pop' 'classic texas country' 'country' 'country rock' 'nashville sound' 'outlaw country' 'singer-songwriter',1980.000000,country rock,artist_2930,country,0Fh7KO6GFLeuOlozvtIpOt,5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/track/0Fh7KO6GFLeuOlozvtIpOt,D Major,<verse_1> I IV I V I IV V I IV V <chorus_1> I IV V I vi V ii V I <interlude_1> V I ii I bVII Vsus4 V <verse_2> I IV I V I IV V I IV V <chorus_2> I IV V I vi V ii V I ii <outro_1> V I,"17,17,0,0,0","4,4,0,0,0",,"8,8,0,0,0","15,15,0,0,0","2,2,0,0,0",,,,,,,,,,,,,,,,,,,,"1,1,0,0,0","1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1"
620969,<intro_1> Bb F7 Bb F7 Bb <verse_1> Bb7 Bb F7 Bb <chorus_1> Bb7 Bb Bb7 Eb Ab7 Bb F7 Bb <interlude_1> F7 Bb F7 Bb7 Bb Bb7 Eb7 Ab7 Bb Eb7 F7 Bb F7 <verse_2> Bb7 Bb F7 Bb <chorus_2> Bb7 Eb Ab7 Bb F7 Bb,1986-06-15,'classic country pop' 'classic texas country' 'country' 'country rock' 'nashville sound' 'outlaw country' 'singer-songwriter',1980.000000,country rock,artist_2930,country,7crBdGo4IWQEvDCRUzterl,5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/track/7crBdGo4IWQEvDCRUzterl,A# Major,<intro_1> I V7 I V7 I <verse_1> I7 I V7 I <chorus_1> I7 I I7 IV bVII I V7 I <interlude_1> V7 I V7 I7 I I7 IV7 bVII I IV7 V7 I V7 <verse_2> I7 I V7 I <chorus_2> I7 IV bVII I V7 I,"16,16,0,0,0",,,"2,2,0,0,0",,,,"7,7,0,0,0,7",,,,,,,,,,,,,,,,,,"3,3,0,0,0","12,12,0,0,0,12"
620970,<verse_1> G C G D7 G C G D7 G <chorus_1> D7 G C G D7 G <interlude_1> C G D7 G C G D G <verse_2> C G D7 G C G D7 G <chorus_2> D7 G C G D7 G <interlude_2> C G D7 G C G D G <verse_3> C G D7 G C G D7 G <chorus_3> D7 G C G D7 G,1976-09-01,'classic country pop' 'classic texas country' 'country' 'country rock' 'nashville sound' 'outlaw country' 'singer-songwriter',1970.000000,country rock,artist_2930,country,3xzeQXzz87k1FM04fgNnqs,5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/track/3xzeQXzz87k1FM04fgNnqs,G Major,<verse_1> I IV I V7 I IV I V7 I <chorus_1> V7 I IV I V7 I <interlude_1> IV I V7 I IV I V I <verse_2> IV I V7 I IV I V7 I <chorus_2> V7 I IV I V7 I <interlude_2> IV I V7 I IV I V I <verse_3> IV I V7 I IV I V7 I <chorus_3> V7 I IV I V7 I,"30,30,0,0,0",,,"13,13,0,0,0","2,2,0,0,0",,,,,,,,,,,,,,,,,,,,,,"14,14,0,0,0,14"
